KEY	Burklab_ID
441950B	NYDH0206
448160B	NYDH0286
448160A	NYDH0285
138270A	NYDH0152
220090A	NYDH0225
140520A	NYDH0136
324580B	NYDH0305
442280A	NYDH0546
325300A	NYDH0502
328870B	NYDH0715
328900A	NYDH0601
220690A	NYDH0041
220130A	NYDH0184
448740A	NYDH0040
448770A	NYDH0061
141370A	NYDH0191
328230A	NYDH0145
327250A	NYDH0033
327100A	NYDH0034
327140A	NYDH0055
550060B	NYDH0194
550560B	NYDH1381
447610A	NYDH0058
141490A	NYDH0036
224180A	NYDH0059
221150A	NYDH0316
220560B	NYDH0028
220590A	NYDH0044
140400A	NYDH0026
139920A	NYDH0126
139470A	NYDH0051
326730A	NYDH0021
326850A	NYDH0047
446650A	NYDH0762
325120A	NYDH0218
325640A	NYDH0064
